Diatoms,Dinoflagellates,Haptophytes,Cryptophytes,Green_algae,Cyanobacteria
0.04241808983412762,0.008964474086544397,0.0441743062577583,0.040887754418499976,0.04421014238524428,0.0478431182025756
0.04972826398899134,0.0080123027360791,0.05756072130375844,0.05264416075989092,0.040044389689224406,0.044305963486757576
0.0649521837967396,0.007609240908426532,0.07504116929426359,0.05993583818197036,0.04303395595454319,0.04834455890982927
0.048255956464922756,0.007603926472784767,0.06114981494975002,0.05379192806696927,0.04217101461319187,0.041122514481898687
0.046900136612803914,0.007798738790916845,0.05135427876311112,0.040264091098256974,0.0357818926621201,0.04016809614264466
0.04598758713228148,0.008371779801592677,0.06261572611835058,0.05492476441887056,0.04378720970419543,0.04008528880470291
0.05674311690102257,0.008635488124109567,0.076709702237317,0.06171069729532702,0.04779073715330562,0.03296741658915239
0.07217390252152782,0.02050819330875371,0.05498553170436607,0.06094519802533437,0.04467230311663545,0.04841842385372792
0.04618988843046008,0.00898434137746508,0.05328934493383191,0.02881024146213968,0.03412675663385183,0.04179217619526912
0.05385959190701892,0.00927019294774184,0.04943455656911662,0.04422302211820694,0.04364311593424085,0.05375886842377352
0.024780643666820885,0.006619268031270054,0.03757699539534276,0.02517482385984534,0.02366454305600181,0.03536764214108669
0.018985607915796274,0.025587097804700462,0.037616648624104666,0.020473842313660597,0.022612308883624952,0.034817892254324224
0.04262615906562267,0.007730496989263536,0.05115980428333596,0.032810149358820304,0.028424124971419377,0.039291680321166395
0.042586453355142564,0.007436991066422954,0.05464877721416786,0.041013840225932845,0.03328448161690476,0.038154134123240584
0.027092046979019575,0.007167664756362213,0.03907704033090759,0.033446185122346615,0.030207043227591407,0.03311895598259237
0.0021011417739813993,0.007519475829563305,0.03449072951139009,0.02328093412830054,0.02601579000739539,0.038431595742127914
0.06014559400999305,0.007714564795921641,0.06193023113230465,0.04381456147648054,0.040432114019613434,0.04741432650236281
0.05940540256438639,0.007950622165784543,0.059859996607747414,0.05295177821497589,0.03937735567510767,0.03160742115992494
0.05353179719162051,0.008079503107603955,0.05907089715754921,0.0447519499721867,0.04047618678258541,0.03886809120580903
0.09727894988418986,0.029270348665339826,0.08451556740721157,0.06949135641029057,0.0444055642165408,0.02786389127162316
0.05377239759032147,0.007492133344659896,0.0666262380680578,0.05902959856175836,0.04147227014561683,0.04298081882136837
0.04855507004651012,0.009124916698706631,0.06155307291112726,0.048000870370529074,0.040093487811331666,0.047949474032129444
0.06821298383818498,0.007239335515954778,0.06979395012809259,0.0559197177181332,0.04197512760073987,0.03709371163718349
0.10903812967471026,0.00840344959864503,0.08906676898122659,0.07062024924318495,0.0952871147964226,0.02724504717277047
0.07128365314425653,0.02154151649797309,0.0529466801836789,0.05586954564081633,0.04028031563935738,0.051472673719447186
0.03641896763761022,0.007953484008560704,0.04181080663186931,0.032828756926316205,0.030081275104948513,0.033574903717813256
0.022797147351283104,0.007326563164620124,0.03714934258963169,0.030075697529675295,0.026858077489008127,0.030684478608978476
0.055381056365910966,0.007876976733331667,0.055075425221995676,0.04945114647478746,0.034790835847274854,0.030149410345278325
0.06862703091447513,0.010008371078099224,0.056782621509939395,0.057357041526289745,0.0526834003851776,0.05808300026142597
0.045252787038774306,0.008523277606598503,0.06318684591247496,0.04746525565065268,0.03772848146152693,0.035214282742259476
0.038898631880197494,0.007442833620499911,0.05345587618388703,0.04585860728646672,0.03079455860288315,0.047487200425356466
