T chla,Zea,DV chla,ButFuco,HexFuco,Allo,MV chlb,Neo,Viola,Fuco,chl c1+c2,chl c3,Perid
0.2387677164223977,0.05988749299490301,0.045646325328261066,0.01706959844563875,0.0631088018956119,0.006378493116040489,0.03536579511800157,0.0027294294622568892,0.0045239540947163495,0.029618424327404528,0.021328103304690347,0.019574519958774596,0.012143983670083108
0.26962429901846113,0.05184876989063153,0.03546559091771299,0.017055208374772098,0.06908671476048539,0.00828050119379391,0.039852754885717614,0.003819878314966034,0.0058139482188246105,0.03573807296932556,0.029795202830412128,0.021283931701458925,0.011014452142709017
0.21581535032864907,0.05564524707217094,0.04106659099807418,0.015988137673294454,0.061245610306129655,0.006136324720187008,0.0335151943666822,0.0022197112129045808,0.004433865595481488,0.02560834977622075,0.014216542770875338,0.01870452909795729,0.01356272870796175
0.1452983904295174,0.05171386634050314,0.04142729559072557,0.014396682883869683,0.05215259672102154,0.00402250447306458,0.027436885160311796,0.0012046948705906248,0.0031959439331149687,0.002819649494814846,0.004831614716565997,0.01049281747723795,0.012681851508755813
0.09529031614087263,0.04871716472163225,0.041606915590852736,0.013904282373795498,0.0474179764508784,0.00255741776098011,0.02267950320705215,0.00041601199185393317,0.002189560409799148,0.0,0.0003444194570478773,0.00843284073399307,0.011649486991605295
0.1156574192590863,0.049497296303967486,0.04395524982751205,0.015055974783476943,0.05119487331895691,0.003639741490292483,0.023100537218099654,0.0008001107982422526,0.002460395290359019,0.0,0.004794841532284169,0.012075089769230028,0.011384421722204129
0.1697195996540156,0.05271432349113754,0.048120769656622916,0.016463346638871737,0.06096988543299616,0.004654647726685562,0.02581567457472716,0.0018568325228264368,0.003454925777251837,0.010361896887637341,0.013977585418590843,0.01871712022641335,0.010846900741854078
0.22427187127951295,0.05336194450025934,0.04370056462368284,0.016673108763713265,0.06488432732278779,0.006950950187217139,0.03294057116323057,0.0029962953727484705,0.004630042457466961,0.026705704848295948,0.024541208386329904,0.02080566669992867,0.010183406646764839
0.2884062023477151,0.05184062528495143,0.04671681547999554,0.019864616095241094,0.07749016310573563,0.008987423707186241,0.040628519503335445,0.004008418009033128,0.0066354405635437345,0.042347029744943955,0.034237508319963604,0.028254801447104967,0.010491363080414741
0.3197025152560946,0.059103730246023924,0.04303592152178781,0.01964693005899123,0.07899788208517608,0.010255714224089005,0.04681374794870966,0.004509662392650075,0.007390405878909742,0.05185256287929031,0.03605778737441101,0.02762961433959498,0.013107736379831354
0.29699547119472525,0.046789110629547784,0.032486279004729994,0.02068809084699607,0.07612923282931461,0.009579431941106114,0.04615965662825993,0.004525175218236569,0.007491691674441437,0.045031386496602294,0.03292125533447931,0.027597412360478427,0.01230833467428558
0.23078376179029714,0.053725046576620215,0.03821035870041921,0.01974483666025709,0.06955721453201497,0.007907443812856579,0.0410526534534881,0.003302989799633881,0.005848687420133691,0.03159461997229781,0.021771465245053884,0.021413901402588413,0.014126256087889196
0.25920041469150046,0.05741111739790945,0.03369258168650563,0.019026770422510823,0.06898554956139658,0.009150783978474828,0.04368167757129912,0.00383789607654237,0.006439087233896562,0.033657550491154604,0.02365616085194147,0.019870029211606684,0.014050917975625493
0.27553402440537156,0.05242296324459461,0.03768652283236318,0.019215513988769875,0.07240223286549176,0.008769655602078078,0.03620296843993662,0.0033826415387480163,0.005238331694909345,0.04776541608307232,0.034550589569344516,0.027470888168666184,0.01106141390224382
0.31604640643568865,0.056242588399557314,0.041251351408315914,0.020502739059402864,0.08008397682145749,0.009443877675866399,0.04397178453580961,0.004050539515815124,0.006404513239321594,0.05320982951384491,0.03588421131344212,0.02960044610054134,0.012650775571400397
0.3498818674487092,0.061325063877014016,0.04508584244526072,0.022606892581441624,0.08844858145782994,0.010027863451298615,0.04653830148536494,0.004724821401528481,0.007204742698784957,0.06204288194830541,0.045720741266955696,0.03286978486681993,0.012534785216075671
0.3539423578451691,0.05921203610100893,0.04027561224078579,0.022725352811656198,0.08778026521023852,0.01085313300683272,0.050414196457779115,0.004878940346912097,0.007766448798834747,0.059444801523641455,0.04085757337237458,0.032766049671458845,0.012803745434394366
0.2855145995010507,0.051277745314064746,0.03234724607764482,0.01851776662435254,0.07237692699389489,0.009567956045787755,0.04606719373914323,0.003797665555230371,0.006749442707334303,0.0421352859476691,0.02639328842204967,0.024929916848940196,0.013224184229770279
0.22723429966094655,0.04717603522499046,0.03477959433244343,0.016686788243899943,0.062467218467058695,0.006694253092384371,0.035355537311044585,0.002629365585317244,0.0048279150647202035,0.03271984741121699,0.02088144466096427,0.0196699299223703,0.012583921122123422
0.25710142067179653,0.05628155147625655,0.04424503226739326,0.017386360975070545,0.06529746954364776,0.00763770649242794,0.03859143624702707,0.002996481960111957,0.005116117454051694,0.03204877957076421,0.024734294586271834,0.020989804955226468,0.012575134709205973
0.29903081594050435,0.05563006506137428,0.041989859328809914,0.017628279505094883,0.0734536203148969,0.009578236861782295,0.04407412872399859,0.004189706665542386,0.006941761826954147,0.047619532575547914,0.032298914205507546,0.024211277504838057,0.012173635728749141
0.2549106319692236,0.0583424649152299,0.03877465469286434,0.018380971254658846,0.07064186259850044,0.008473439006786153,0.03982300079374162,0.003374149591590227,0.005832506028141738,0.03193249461489744,0.023134384423298078,0.021359886893181076,0.011996201154178706
0.22300306605567544,0.05928848070656814,0.04408528229118745,0.019088244491947917,0.07106874816784535,0.00693316409769197,0.03586609238526084,0.0026493199553557154,0.004894395606902208,0.026141372695397944,0.02060879436307198,0.021734850583430818,0.012464073978275843
0.2559419620272305,0.054039381150594465,0.03988783762544165,0.019584101508317568,0.07126077534513006,0.008760244403740503,0.04213604897621781,0.003379628393641423,0.005781726381558932,0.02981076050195984,0.023014741506883485,0.02237630634897832,0.013219647574009839
0.28287448895412964,0.04790696529635318,0.026747770997589244,0.019088667296186357,0.07287837339681294,0.010043609287762151,0.048041520109762995,0.004229315265988618,0.006927304420432306,0.04267316513448881,0.027296844594031897,0.02551330475984107,0.013833770770626289
0.3009818830953517,0.05008168283928513,0.03113496236797473,0.0201302499191748,0.07620046766126296,0.009814728059323019,0.045308786572872545,0.004127604334405961,0.00625102131841589,0.051756923782093914,0.03339440909465879,0.02751776798031906,0.012911347420336047
0.20824995461733278,0.05492134166774197,0.04029331457866811,0.01558560352954792,0.06252727227635824,0.005417415831588392,0.032752273057258745,0.0019420352115915762,0.003591565662896203,0.031178104573590437,0.021525970928187477,0.018404401314207643,0.014271771006290053
0.25213060382754693,0.05398978031897883,0.0375938264688004,0.01757813347724254,0.06884505776419855,0.007323681272630445,0.03434702313073382,0.00285620278855771,0.004555186777615482,0.04123227881118162,0.026708715839713893,0.02378764905766349,0.013023415586992953
0.15430132339448754,0.04620428028973386,0.04046056675812727,0.013721136036998666,0.053276004770032595,0.0040835322446839935,0.024194789191054916,0.001331543827903246,0.0027255777231748658,0.011588992285856761,0.011613258282611439,0.014066424860968166,0.010563055389631856
0.15835408976554888,0.051748124111735,0.04077907061165886,0.014157597020811229,0.05231267690972612,0.003888817041351248,0.023076818395834378,0.0010691341598277554,0.0023269342997103365,0.01657765971737364,0.011954605049636545,0.014956473160104521,0.011773521947452681
0.19907556968129828,0.04977477180378434,0.03815347370850387,0.01597459156567897,0.05930465126554933,0.005734481204323938,0.027296145505512515,0.0017191101163023515,0.0032288120946586518,0.029235952013837673,0.019159324909662365,0.01737503319300062,0.012258726215589101
0.217612478475464,0.047095436875659945,0.03872862610449129,0.01689180375372077,0.06339460221936202,0.006482495477683601,0.03235641118563741,0.0025386922859041688,0.004260127765825903,0.027101373614522774,0.021948066902618107,0.018460116041802498,0.011737966918498707
0.1734578603044611,0.048263804053389994,0.03682963078690525,0.015401633136458079,0.055788220305231936,0.005287000039711294,0.030346624330331078,0.00210321654412669,0.004352803503115577,0.016049934230768174,0.010909744803804421,0.013809394735503579,0.011404965022222636
